name,price,date
['Life�s Beach�Inn'],['US$112'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$143'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$149'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$180'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$149'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$286'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Astoria Riverwalk Inn'],['US$200'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$85'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$256'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$242'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Columbia Inn'],['US$72'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$85'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$250'],"11   2022-06-12
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$84'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$161'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$207'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$79'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$195'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$257'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$143'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Historic Camp Hungry'],['US$84'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$149'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$180'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$139'],"12   2022-06-13
Name: date, dtype: datetime64[ns]"

